DATE,DEMAND,FROM,TO,DISTANCE,PROFIT,LAGAN,FUEL_COST_PER_LITRE,TMIN,TMAX,PRCP
2024-07-22,1.0,Masaurhi,Unknown,132.0,1000.0,0.0,92.03,31.0,36.0,0.6
2024-07-21,1.0,Masaurhi,Unknown,46.0,1000.0,0.0,92.03,31.0,35.0,0.4
2024-07-17,1.0,Masaurhi,Unknown,122.0,1000.0,0.0,92.03,29.2,37.0,0.0
2024-07-16,1.0,Masaurhi,Unknown,59.0,1000.0,0.0,92.03,29.6,35.0,0.0
2024-07-15,1.0,Masaurhi,Unknown,83.8,3000.0,1.0,92.03,28.8,37.0,5.1
2024-07-14,1.0,Masaurhi,Unknown,40.0,2500.0,1.0,92.03,30.0,35.0,14.6
2024-07-13,1.0,Masaurhi,Barni,33.0,1000.0,1.0,92.03,30.0,36.0,6.3
2024-07-12,1.0,Masaurhi,Unknown,100.0,3500.0,0.0,92.03,28.0,36.0,21.2
2024-07-11,1.0,Masaurhi,Dhanuki,26.0,1000.0,1.0,92.03,26.3,35.0,37.4
2024-07-10,1.0,Masaurhi,Dahiya,30.0,1000.0,0.0,92.03,27.9,35.0,14.4
2024-07-09,1.0,Jehanabad,Patna,98.0,1500.0,1.0,92.03,28.7,36.0,0.0
2024-07-08,1.0,Masaurhi,Nadauna,49.0,1000.0,0.0,92.03,27.3,36.0,0.5
2024-07-06,1.0,Masaurhi,Piyar pura,62.0,1000.0,0.0,92.03,26.6,32.0,42.9
2024-07-05,1.0,Masaurhi,Hazipur,101.0,1000.0,0.0,92.03,27.0,31.0,7.1
2024-07-04,1.0,Masaurhi,Unknown,84.0,1000.0,0.0,92.03,26.6,34.0,15.0
2024-07-03,1.0,Masaurhi,Unknown,76.0,1000.0,0.0,92.03,26.9,31.0,17.0
2024-07-02,1.0,Masaurhi,Unknown,86.0,1000.0,0.0,92.03,26.8,31.0,0.5
2024-07-01,1.0,Masaurhi,Unknown,75.0,1000.0,0.0,92.03,27.6,36.0,8.9
2024-06-30,1.0,Masaurhi,Unknown,132.0,2000.0,0.0,92.03,25.0,34.0,27.9
2024-06-26,1.0,Masaurhi,Unknown,81.0,1000.0,0.0,92.03,29.2,34.0,23.7
2024-06-25,1.0,Masaurhi,Unknown,136.0,1000.0,0.0,92.03,31.0,37.0,0.0
2024-06-23,1.0,Masaurhi,Unknown,74.0,1000.0,0.0,92.03,30.4,40.0,3.3
2024-06-22,1.0,Masaurhi,Unknown,89.0,1000.0,0.0,92.03,30.0,39.0,4.2
2024-06-21,1.0,Masaurhi,Unknown,110.0,1000.0,0.0,92.03,28.2,37.0,0.0
2024-06-20,1.0,Masaurhi,Unknown,117.0,1000.0,0.0,92.03,25.9,37.0,3.0
2024-06-19,1.0,Masaurhi,Unknown,29.0,1000.0,0.0,92.03,30.0,42.0,0.0
2024-06-16,1.0,Masaurhi,Unknown,53.0,1000.0,0.0,92.03,29.8,43.0,0.0
2024-06-14,1.0,Masaurhi,Unknown,68.0,1000.0,0.0,92.03,30.0,43.0,0.0
2024-06-11,1.0,Masaurhi,Unknown,119.0,1000.0,0.0,92.03,31.2,43.0,0.0
2024-06-10,1.0,Masaurhi,Unknown,106.0,1000.0,0.0,92.03,29.4,42.0,0.0
2024-06-06,1.0,Masaurhi,Unknown,66.0,1000.0,0.0,92.03,28.0,39.0,0.0
2024-06-05,1.0,Masaurhi,Unknown,102.0,1000.0,0.0,92.03,28.4,39.0,0.0
2024-06-02,1.0,Masaurhi,Unknown,223.0,2000.0,0.0,92.03,28.4,37.0,0.5
2024-05-31,1.0,Masaurhi,Unknown,100.0,1500.0,0.0,92.03,28.4,36.0,0.0
2024-05-30,1.0,Masaurhi,Unknown,94.4,1000.0,0.0,92.0300000000001,31.0,42.0,0.0
2024-05-29,1.0,Masaurhi,Unknown,79.2,2500.0,0.0,92.0300000000001,32.0,43.0,0.0
2024-05-27,1.0,Masaurhi,Unknown,150.0,2200.0,0.0,92.0300000000001,31.8,39.0,0.0
2024-05-26,1.0,Masaurhi,Unknown,81.6,2000.0,0.0,92.0300000000001,32.6,40.0,0.2
2024-05-25,1.0,Masaurhi,Unknown,68.0,3000.0,0.0,92.0300000000001,31.6,41.0,0.0
2024-05-24,1.0,Masaurhi,Unknown,40.0,2000.0,0.0,92.0300000000001,29.6,40.0,0.0
2024-05-23,1.0,Masaurhi,Unknown,80.0,2500.0,0.0,92.0300000000001,26.6,35.0,6.8
2024-05-22,1.0,Masaurhi,Unknown,86.6,2500.0,0.0,92.0300000000001,28.0,36.0,0.4
2024-05-21,1.0,Masaurhi,Unknown,97.4,3500.0,0.0,92.0300000000001,27.0,36.0,0.0
2024-05-20,1.0,Masaurhi,Unknown,82.8,2500.0,0.0,92.0300000000001,28.6,36.0,0.0
2024-05-16,1.0,Masaurhi,Unknown,80.0,1000.0,0.0,92.0300000000001,31.0,41.0,0.0
2024-05-15,1.0,Masaurhi,Unknown,206.0,1500.0,0.0,92.0300000000001,30.0,41.0,0.0
2024-05-14,1.0,Masaurhi,Unknown,161.0,1500.0,0.0,92.0300000000001,26.5,39.0,0.0
2024-05-13,1.0,Masaurhi,Unknown,50.0,1000.0,0.0,92.0300000000001,26.4,36.0,0.0
2024-05-11,1.0,Masaurhi,Unknown,100.0,1000.0,0.0,92.0300000000002,27.2,36.0,2.2
2024-05-10,1.0,Masaurhi,Unknown,100.0,1000.0,0.0,92.0300000000002,22.8,35.0,0.0
2024-05-08,1.0,Masaurhi,Unknown,132.0,1200.0,0.0,92.0300000000002,22.0,34.0,22.1
2024-05-05,1.0,Masaurhi,Unknown,90.0,1000.0,0.0,92.0300000000002,26.0,42.0,0.0
2024-05-02,1.0,Masaurhi,Unknown,32.0,1500.0,0.0,92.0300000000002,27.2,38.0,0.0
2024-04-29,1.0,Masaurhi,Unknown,87.0,1000.0,0.0,92.0300000000002,29.6,42.0,0.0
2024-04-28,1.0,Masaurhi,Unknown,90.0,1000.0,0.0,92.0300000000002,29.8,42.0,0.0
2024-04-26,1.0,Masaurhi,Makhdumpur,49.0,1500.0,0.0,92.0300000000002,27.0,42.0,0.0
2024-04-25,1.0,Sarwan,Athmal Gola,128.0,1000.0,0.0,92.0300000000002,28.2,41.0,0.0
2024-04-24,1.0,Masaurhi,Unknown,120.0,2000.0,1.0,92.0300000000002,28.6,41.0,0.0
2024-04-23,1.0,Masaurhi,Gaya,80.0,2000.0,1.0,92.0300000000002,28.6,41.0,0.0
2024-04-22,1.0,Masaurhi,Bhagwanganj,84.0,1400.0,1.0,92.0300000000002,27.8,39.0,0.0
2024-04-21,1.0,Masaurhi,Akbarpur Ranipur,46.0,2000.0,1.0,92.0300000000002,28.6,41.0,0.0
2024-04-20,1.0,Masaurhi,Bihar Sharif,88.0,1000.0,1.0,92.0300000000002,27.8,42.0,0.0
2024-04-19,1.0,Patna,Koilwar,77.2,2000.0,1.0,92.0300000000002,28.0,42.0,0.0
2024-04-18,1.0,Masaurhi,Patna,170.0,1000.0,1.0,92.0300000000002,27.0,40.0,0.0
2024-04-17,1.0,Masaurhi,Unknown,35.0,1840.0,0.0,92.0300000000003,30.0,39.0,0.0
2024-04-16,1.0,Masaurhi,Unknown,23.0,1740.0,0.0,92.0300000000003,31.0,40.0,0.0
2024-04-15,1.0,Masaurhi,Unknown,51.0,1000.0,0.0,92.0300000000003,27.4,40.0,0.0
2024-04-14,1.0,Masaurhi,Unknown,117.0,1200.0,0.0,92.0300000000003,28.0,39.0,0.0
2024-04-13,1.0,Diara Malahi,Masaurhi,75.0,2000.0,0.0,92.0300000000003,25.2,39.0,0.0
2024-04-11,1.0,Masaurhi,Unknown,114.0,1000.0,0.0,92.0300000000003,25.6,39.0,0.0
2024-04-08,1.0,Masaurhi,Unknown,21.0,1400.0,0.0,92.0300000000003,24.6,38.0,0.0
2024-04-07,1.0,Masaurhi,Unknown,120.0,2500.0,0.0,92.0300000000003,28.2,38.0,0.0
2024-04-05,1.0,Masaurhi,Unknown,37.0,1000.0,0.0,92.0300000000003,26.6,39.0,0.0
2024-04-04,1.0,Masaurhi,Unknown,197.0,2000.0,0.0,92.0300000000003,24.2,40.0,0.0
2024-04-03,1.0,Masaurhi,Unknown,93.0,2000.0,0.0,92.0300000000003,23.0,39.0,0.0
2024-04-02,1.0,Masaurhi,Unknown,29.0,1360.0,0.0,92.0300000000003,22.6,37.0,0.0
2024-03-31,1.0,Masaurhi,Bihta,30.0,2000.0,0.0,92.03,26.0,38.0,0.3
2024-03-30,1.0,Masaurhi,Gaya,162.0,1000.0,0.0,92.03,27.0,37.0,0.0
2024-03-28,1.0,Masaurhi,Unknown,119.4,1000.0,0.0,92.03,21.1,34.0,0.0
2024-03-20,1.0,Masaurhi,Unknown,175.0,2000.0,0.0,92.03,17.6,25.0,40.5
2024-03-18,1.0,Masaurhi,Bishunpur,36.0,1000.0,0.0,92.03,20.0,33.0,0.0
2024-03-17,1.0,Masaurhi,Okri,67.6,1000.0,0.0,92.03,20.0,33.0,0.0
2024-03-16,1.0,Masaurhi,Unknown,35.6,1400.0,0.0,92.03,20.9,34.0,0.0
2024-03-15,1.0,Nadwan,Patna,142.0,1000.0,0.0,92.03,21.0,34.0,0.0
2024-03-14,1.0,Masaurhi,Unknown,87.8,1000.0,0.0,94.02,20.0,34.0,0.0
2024-03-13,1.0,Masaurhi,Unknown,98.6,1000.0,0.0,94.02,20.0,34.0,0.0
2024-03-11,1.0,Masaurhi,Koilwar,157.0,1500.0,1.0,94.02,16.0,32.0,0.0
2024-03-10,1.0,Masaurhi,Kurtha,99.6,1000.0,1.0,94.02,16.0,29.0,0.0
2024-03-08,1.0,Masaurhi,Unknown,42.2,1000.0,0.0,94.02,16.0,29.0,0.0
2024-03-07,1.0,Masaurhi,Unknown,97.8,1600.0,1.0,94.02,14.6,28.0,0.0
2024-03-06,1.0,Masaurhi,Makhdumpur,35.0,1000.0,1.0,94.02,14.2,27.0,0.0
2024-03-05,1.0,Masaurhi,Unknown,42.0,1000.0,1.0,94.02,17.4,27.0,0.0
2024-03-04,1.0,Masaurhi,Unknown,74.2,1300.0,1.0,94.02,17.4,30.0,2.0
2024-03-03,1.0,Masaurhi,Unknown,44.6,2000.0,1.0,94.02,18.6,24.0,0.5
